idfuente,nombre_archivo,nombre_serie,signatura,tipo_doc,titulo_doc,fecha_doc,folio_pagina,contenido,URL
81,Archivo General de Indias,Correos,"CORREOS,272A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1773-06-01,NULL,"Diario de navegación del paquebote 'El Grimaldi' al mando de su capitán, Francisco de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41155
82,Archivo General de Indias,Correos,"CORREOS,279B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-02-06,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, José de la Cuadra y Foncerrada, con destino a la carrera de Falmouth.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41314
83,Archivo General de Indias,Correos,"CORREOS,279B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Grimaldi'',1795-06-10,NULL,"Diario de navegación del paquebot 'El Grimaldi' al mando de su capitán, Juan del Busto, con destino a la carrera de Falmouth.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41316
84,Archivo General de Indias,Correos,"CORREOS,273B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Infante'',1792-02-05,NULL,"Diario de navegación del paquebot 'El Infante' al mando de su capitán, Pedro del Barco, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41206
85,Archivo General de Indias,Correos,"CORREOS,273B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Infante'',1794-08-12,NULL,"Diario de navegación del paquebot 'El Infante' al mando de su capitán Jacinto de Vargas Machuca, con destino a la carrera de La Habana. El 26 de diciembre de 1794 arribó al puerto de Camariñas",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41207
86,Archivo General de Indias,Correos,"CORREOS,273B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Infante'',1796-07-08,NULL,"Diario de navegación del paquebot 'El Infante' al mando de su capitán, José Suárez Quirós, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41208
87,Archivo General de Indias,Correos,"CORREOS,279B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Kaulicán'',1783-10-30,NULL,"Diario de navegación del paquebot 'El Kaulicán' al mando de su capitán, Clemente de Ubarri, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41307
88,Archivo General de Indias,Correos,"CORREOS,279B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Kaulicán'',1786-02-11,NULL,"Diario de navegación del paquebot 'El Kaulicán' al mando de su capitán, Juan Antonio de Laredo, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41309
89,Archivo General de Indias,Correos,"CORREOS,279B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Kaulicán'',1784-06-02,NULL,"Diario de navegación del paquebot 'El Kaulicán' al mando de su capitán, Manuel Fernández Trelles, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41308
90,Archivo General de Indias,Correos,"CORREOS,192B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1781-06-28,NULL,"Diario de navegación del paquebot 'El Lanzarote' al mando de su capitán, Manuel Fernández Trelles, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40847
91,Archivo General de Indias,Correos,"CORREOS,275B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1786-01-18,NULL,"Diario de navegación del paquebot 'El Lanzarote' al mando de su capitán, Jacinto de Vargas Machuca, con destino a la carrera de La Habana. Se refiere únicamente al viaje de ida; sabemos que regresó a La Coruña el 22 de junio de 1786",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41264
92,Archivo General de Indias,Correos,"CORREOS,279B,R.14",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1795-06-02,NULL,"Diario de navegación del paquebot 'El Lanzarote' al mando de su capitán, Manuel Rodríguez, con destino a la carrera de Falmouth.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41317
93,Archivo General de Indias,Correos,"CORREOS,279B,R.15",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1795-07-03,NULL,"Diario de navegación del paquebot 'El Lanzarote' al mando de su capitán, Manuel Rodríguez, con destino a la carrera de Falmouth.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41318
94,Archivo General de Indias,Correos,"CORREOS,275B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1787-03-12,NULL,"Diario de navegación del paquebot 'El Lanzarote' al mando de su capitán, Ramón José de Rivero, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41265
95,Archivo General de Indias,Correos,"CORREOS,275B,R.14",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1797-02-09,NULL,"Diario de navegación del paquebot 'El Lanzarote' al mando de su capitán, Manuel Rodríguez y Salsidua, con destino a la carrera de La Habana. El diario se encuentra inconcluso",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41266
96,Archivo General de Indias,Correos,"CORREOS,275B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Lanzarote'',1786-08-01,NULL,"Diario de navegación del paquebot 'El Lanzarote' al mando de su capitán, Juan Tutzo, con destino a la carrera de La Habana. El 8 de diciembre de 1786 arribó al puerto de El Ferrol, donde permaneció hasta el dia 21",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41263
97,Archivo General de Indias,Correos,"CORREOS,276A,R.13",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1794-02-09,NULL,"Diario de navegación del paquebote 'El Magallanes' al mando de su capitán, Luis de Videgaray, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41280
98,Archivo General de Indias,Correos,"CORREOS,276A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1767-02-04,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José Francisco Becerra, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41271
99,Archivo General de Indias,Correos,"CORREOS,276B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1772-06-02,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Francisco de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41286
100,Archivo General de Indias,Correos,"CORREOS,276B,R.15",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1778-09-02,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José Antonio de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41297
101,Archivo General de Indias,Correos,"CORREOS,276B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1776-11-04,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Pedro del Barco, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41294
102,Archivo General de Indias,Correos,"CORREOS,276A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1767-09-01,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José de Llano, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41272
103,Archivo General de Indias,Correos,"CORREOS,276B,R.14",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1777-07-01,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José Montaño y de la Cuadra, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41296
104,Archivo General de Indias,Correos,"CORREOS,276A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1769-07-01,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Cosme de Bringas, con destino a la carrera de La Habana. Lleva un pasaporte otorgado por el marqués de Grimaldi",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41274
105,Archivo General de Indias,Correos,"CORREOS,276A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1765-09-30,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José Francisco Becerra, con destino a la carrera de La Habana. El día 11 de octubre interrumpió el viaje debido al mal estado de la mar, arribando al puerto de El Ferrol",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41269
106,Archivo General de Indias,Correos,"CORREOS,276A,R.11",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1773-01-02,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Antonio de la Cuadra, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41278
107,Archivo General de Indias,Correos,"CORREOS,276A,R.6",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1769-02-01,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Cosme de Bringas, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41273
108,Archivo General de Indias,Correos,"CORREOS,276A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1765-01-01,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José Francisco Becerra, con destino a la carrera de La Habana. El 14 de enero de 1765 arribó al puerto de Gijón donde permaneció hasta el 16 de febrero de ese año. Adjunta diario del 1 de enero de 1765 y 17 ese mes y una copia de estas novedades realizada el 12 de octubre de 1765",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41268
109,Archivo General de Indias,Correos,"CORREOS,276B,R.11",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1776-01-03,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41293
110,Archivo General de Indias,Correos,"CORREOS,276B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1775-03-08,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Juan Antonio de la Bodega, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41291
111,Archivo General de Indias,Correos,"CORREOS,276B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1774-07-01,NULL,"Diario de navegación del paquebote 'El Magallanes' al mando de su capitán, Francisco de Rivero, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41289
112,Archivo General de Indias,Correos,"CORREOS,276A,R.14",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1796-04-06,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Manuel Rodríguez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41281
113,Archivo General de Indias,Correos,"CORREOS,276A,R.12",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1793-02-08,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Juan Manuel de las Cagigas, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41279
114,Archivo General de Indias,Correos,"CORREOS,276A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1767-02-04,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José Francisco Becerra, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41271
115,Archivo General de Indias,Correos,"CORREOS,276B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1772-06-02,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Francisco de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41286
116,Archivo General de Indias,Correos,"CORREOS,276B,R.15",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1778-09-02,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José Antonio de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41297
117,Archivo General de Indias,Correos,"CORREOS,276B,R.12",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1776-11-04,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, Pedro del Barco, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41294
118,Archivo General de Indias,Correos,"CORREOS,276A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Magallanes'',1767-09-01,NULL,"Diario de navegación del paquebot 'El Magallanes' al mando de su capitán, José de Llano, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41272
119,Archivo General de Indias,Correos,"CORREOS,194A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1796-02-27,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Luis de Videgaray, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40887
120,Archivo General de Indias,Correos,"CORREOS,194A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1768-02-17,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de  su capitán José de Merino, con destino a la carrera de Buenos Aires. El 21 de febrero de 1768 volvió a La Coruña por la tempestad. Salió de nuevo el 25 de febrero",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40880
121,Archivo General de Indias,Correos,"CORREOS,274B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1772-11-01,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41228
122,Archivo General de Indias,Correos,"CORREOS,274B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1770-02-03,NULL,"Diario de navegación del paquebote 'El Patagón' al mando de su capitán, Pedro de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41227
123,Archivo General de Indias,Correos,"CORREOS,274B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1783-05-10,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Juan Antonio de la Bodega, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41233
124,Archivo General de Indias,Correos,"CORREOS,194A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1786-04-17,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Ignacio Pérez, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40886
125,Archivo General de Indias,Correos,"CORREOS,194A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1773-06-15,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40883
126,Archivo General de Indias,Correos,"CORREOS,274B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1777-10-04,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, José de las Casas, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41231
127,Archivo General de Indias,Correos,"CORREOS,194A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1774-06-17,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Andrés Vélez, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40884
128,Archivo General de Indias,Correos,"CORREOS,274B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1788-03-07,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Juan Antonio González, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41234
129,Archivo General de Indias,Correos,"CORREOS,194A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1770-09-19,NULL,"Diario de navegación del paquebote 'El Patagón' al mando de su capitán, Pedro de Llanos, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40881
130,Archivo General de Indias,Correos,"CORREOS,274B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1776-07-02,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41229
131,Archivo General de Indias,Correos,"CORREOS,194A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1768-02-17,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de  su capitán José de Merino, con destino a la carrera de Buenos Aires. El 21 de febrero de 1768 volvió a La Coruña por la tempestad. Salió de nuevo el 25 de febrero",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40880
132,Archivo General de Indias,Correos,"CORREOS,274B,R.2",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1772-11-01,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41228
133,Archivo General de Indias,Correos,"CORREOS,274B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1770-02-03,NULL,"Diario de navegación del paquebote 'El Patagón' al mando de su capitán, Pedro de Llanos, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41227
134,Archivo General de Indias,Correos,"CORREOS,274B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1783-05-10,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Juan Antonio de la Bodega, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41233
135,Archivo General de Indias,Correos,"CORREOS,194A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1786-04-17,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Ignacio Pérez, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40886
136,Archivo General de Indias,Correos,"CORREOS,194A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1773-06-15,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40883
137,Archivo General de Indias,Correos,"CORREOS,274B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1777-10-04,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, José de las Casas, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41231
138,Archivo General de Indias,Correos,"CORREOS,194A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Patagón'',1774-06-17,NULL,"Diario de navegación del paquebot 'El Patagón' al mando de su capitán, Andrés Vélez, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40884
139,Archivo General de Indias,Correos,"CORREOS,279B,R.8",Diario de navegación,Diario de navegación del paquebot ''El Pinzón'',1789-10-21,NULL,"Diario de navegación del paquebote 'El Pinzón' al mando de su capitán, Juan Manuel de las Cagigas, con destino a la carrera de La Habana. El 4 de febrero entregó este bergantín a D. Isidro José Capmany; y el 16 del mismo mes partió de La Habana con el correo 'El Príncipe', llegando a la bahia de La Coruña el 6 de abril de 1790. (Del viaje de vuelta solo contiene las novedades)",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41311
140,Archivo General de Indias,Correos,"CORREOS,193A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Pinzón'',1789-01-01,NULL,"Diario de navegación del paquebot 'El Pinzón' al mando de su capitán, Juan Tutzo, con destino a la carrera de Buenos Aires.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/40860
141,Archivo General de Indias,Correos,"CORREOS,279B,R.17",Diario de navegación,Diario de navegación del paquebot ''El Pinzón'',1795-08-26,NULL,"Diario de navegación del paquebot 'El Pinzón' al mando de su capitán, José Mª de Vargas Machuca, con destino a la carrera de Falmouth.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41320
142,Archivo General de Indias,Correos,"CORREOS,269B,R.1",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1771-02-02,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José de Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41078
143,Archivo General de Indias,Correos,"CORREOS,269B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1775-10-07,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, Antonio de la Cuadra, con destino a la carrera de La Habana. El 14 de febrero de 1776 arribó al puerto de Cedeira a causa del mal tiempo, y salió el 2 de marzo de ese año",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41086
144,Archivo General de Indias,Correos,"CORREOS,269A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1767-08-01,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José Francisco Becerra, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41071
145,Archivo General de Indias,Correos,"CORREOS,269B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1784-03-10,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Agustín de Elorriaga, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41090
146,Archivo General de Indias,Correos,"CORREOS,269B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1773-05-01,NULL,"Diario de navegación del paquebote 'El Pizarro' al mando de su capitán, Cayetano Antúnez, con destino a la carrera de La Habana. El 30 de agosto de 1773 murió Cayetano Antúnez. A partir de esta fecha continúa el diario Juan Antonio de la Bodega",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41082
147,Archivo General de Indias,Correos,"CORREOS,269A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1769-05-02,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José de Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41074
148,Archivo General de Indias,Correos,"CORREOS,269B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1774-08-02,NULL,"Diario de navegación del paquebote 'El Pizarro' al mando de su capitán Juan Antonio de la Bodega, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41084
149,Archivo General de Indias,Correos,"CORREOS,269A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1769-10-20,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José de Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41075
150,Archivo General de Indias,Correos,"CORREOS,269A,R.6",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1768-09-02,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José Francisco Becerra, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41073
151,Archivo General de Indias,Correos,"CORREOS,269A,R.9",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1770-06-01,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José de Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41076
152,Archivo General de Indias,Correos,"CORREOS,269B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1772-09-01,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41081
153,Archivo General de Indias,Correos,"CORREOS,269B,R.15",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1787-10-07,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, José Suarez Quirós, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41092
154,Archivo General de Indias,Correos,"CORREOS,269A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1768-03-01,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José Francisco Becerra, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41072
155,Archivo General de Indias,Correos,"CORREOS,269A,R.2",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1765-05-21,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José Teodoro Pérez, con destino a la carrera de La Habana. Viaje de vuelta. El de ida fue realizado por José de Merino",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41069
156,Archivo General de Indias,Correos,"CORREOS,269A,R.1",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1764-12-01,NULL,"Diario de navegación del buque correo 'El Pizarro'. Consta de varias partes:a.- Diario de navegación del paquebot 'El Pizarro' al mando de sucapitán José de Merino con destino a la Carrera de BuenosAires. Salíó el 1 de diciembre de 1764  y embarrancó enCamariñas el 17 del citado mes a causa de los malos temporales. b.- Diario de navegación del paquebot 'El Pizarro' al mando de sucapitán José de Merino, confeccionado por Diego Fernández,pilotín de la real armada, con destino a la carrera de BuenosAires. Salió el 1 de diciembre de 1764 y embarrancó enCamariñas el 17 de citado mes a causa de los malos temporales. c.- Diario de navegación del paquebot 'El Pizarro' al mando de sucapitán José de Merino, con destino a la carrera de BuenosAires. Salió el 24 de enero de 1765 y alcanzó el puerto de LaHabana el 9 de abril del citado año;  es la continuación deldiario 'a'. El viaje de regreso lo efectuó en 'El Grimaldi'. d.- Diario de navegación del paquebot 'El Grimaldi' al mando de sucapitán José de Merino, con destino al puerto de La Coruña. Salió el 24 de abril de 1765 y alcanzó el puerto de La Coruñael 15 de junio del citado año. El viaje de ida lo realizó en'El Pizarro'",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41068
157,Archivo General de Indias,Correos,"CORREOS,269B,R.10",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1776-06-01,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, Juan Antonio de la Bodega, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41087
158,Archivo General de Indias,Correos,"CORREOS,269B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1775-10-07,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, Antonio de la Cuadra, con destino a la carrera de La Habana. El 14 de febrero de 1776 arribó al puerto de Cedeira a causa del mal tiempo, y salió el 2 de marzo de ese año",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41086
159,Archivo General de Indias,Correos,"CORREOS,269A,R.4",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1767-08-01,NULL,"Diario de navegación del paquebot 'El Pizarro' al mando de su capitán, José Francisco Becerra, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41071
160,Archivo General de Indias,Correos,"CORREOS,269B,R.13",Diario de navegación,Diario de navegación del paquebot ''El Pizarro'',1784-03-10,NULL,"Diario de navegación del paquebot 'El Cortés' al mando de su capitán, Agustín de Elorriaga, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41090
